system_number,accession_number,LocationString,Room
219887,ILE2017.13.7,"Art Gallery (Kahn), Kahn, 200",200
219888,ILE2017.13.8,"Art Gallery (Kahn), Kahn, 200",200
219889,ILE2017.13.9,"Art Gallery (Kahn), Kahn, 200",200
211831,2018.168.1,"Art Gallery (Kahn), Kahn, 200",200
52806,1953.31.1,"Art Gallery (Kahn), Kahn, 200",200
52839,1953.31.2,"Art Gallery (Kahn), Kahn, 200",200
50782,1955.4.64,"Art Gallery (Kahn), Kahn, 200",200
8135,1956.39.1,"Art Gallery (Kahn), Kahn, 200",200
52534,1963.31,"Art Gallery (Kahn), Kahn, 200",200
8684,1971.24,"Art Gallery (Kahn), Kahn, 200",200
24926,1980.96.2,"Art Gallery (Kahn), Kahn, 200",200
24842,1981.118.5,"Art Gallery (Kahn), Kahn, 200",200
57083,1985.115.2,"Art Gallery (Kahn), Kahn, 200",200
57087,1985.115.3,"Art Gallery (Kahn), Kahn, 200",200
61088,1986.104.1,"Art Gallery (Kahn), Kahn, 200",200
59704,1992.72.1a-b,"Art Gallery (Kahn), Kahn, 200",200
75344,1999.9.3,"Art Gallery (Kahn), Kahn, 200",200
76051,1999.9.6,"Art Gallery (Kahn), Kahn, 200",200
76055,1999.9.32,"Art Gallery (Kahn), Kahn, 200",200
77949,1999.133.1,"Art Gallery (Kahn), Kahn, 200",200
83416,2001.137.10,"Art Gallery (Kahn), Kahn, 200",200
83417,2001.137.11,"Art Gallery (Kahn), Kahn, 200",200
93021,2003.56.6,"Art Gallery (Kahn), Kahn, 200",200
93025,2003.56.10,"Art Gallery (Kahn), Kahn, 200",200
94467,2003.60.1,"Art Gallery (Kahn), Kahn, 200",200
121232,2007.156.1a-b,"Art Gallery (Kahn), Kahn, 200",200
121233,2007.156.2a-b,"Art Gallery (Kahn), Kahn, 200",200
124166,2007.185.1,"Art Gallery (Kahn), Kahn, 200",200
123845,2008.21.98,"Art Gallery (Kahn), Kahn, 200",200
141512,2009.198.14,"Art Gallery (Kahn), Kahn, 200",200
174625,2012.71.12,"Art Gallery (Kahn), Kahn, 200",200
112686,2015.141.1,"Art Gallery (Kahn), Kahn, 200",200
118665,2016.44.1,"Art Gallery (Kahn), Kahn, 200",200
220013,2017.63.1.1-.2,"Art Gallery (Kahn), Kahn, 200",200
219885,ILE2017.13.5,"Art Gallery (Kahn), Kahn, 200",200
219886,ILE2017.13.6,"Art Gallery (Kahn), Kahn, 200",200
219890,ILE2017.13.10.1-.3,"Art Gallery (Kahn), Kahn, 200",200
219891,ILE2017.13.11,"Art Gallery (Kahn), Kahn, 200",200
219894,ILE2017.13.14,"Art Gallery (Kahn), Kahn, 200",200
219895,ILE2017.13.15,"Art Gallery (Kahn), Kahn, 200",200
219896,ILE2017.13.16,"Art Gallery (Kahn), Kahn, 200",200
229137,ILE2017.17.2,"Art Gallery (Kahn), Kahn, 200",200
229138,ILE2017.17.3,"Art Gallery (Kahn), Kahn, 200",200
50601,1955.1.1,"Art Gallery (Kahn), Kahn, 200",200
